message_id,action,message_type,reason,confidence,evidence_message_ids
msg_082,digest,unknown,"Low-signal media message (voice note, 7.86s); no urgency, strong usefulness, or risk detected.",0.40,message_0218;message_0380;message_0397
msg_066,mute,spam,User has ignored/dismissed 2 similar past message(s) from this sender; no new signal justifies interrupting now.,0.93,message_0188;message_0187
msg_049,digest,business_update,User has an active relationship/opt-in with this business.,0.68,message_0154;message_0291;message_0153
msg_015,digest,personal,"No strong urgency, usefulness, repetition, or risk signal found; routed by default fallback.",0.48,message_0045;message_0023;message_0213
msg_051,mute,spam,User has ignored/dismissed 3 similar past message(s) from this sender; no new signal justifies interrupting now.,0.93,message_0257;message_0104;message_0103
msg_097,digest,personal,Direct personal message.,0.48,message_0054;message_0225;message_0167
msg_089,digest,event,Direct personal message.,0.45,none
msg_053,digest,forward,Sent by a group admin.,0.48,message_0411;message_0161;message_0253
msg_059,notify,urgent,Contains explicit time-pressure language.,0.68,message_0045;message_0023;message_0053
msg_024,mute,spam,User has ignored/dismissed 3 similar past message(s) from this sender; no new signal justifies interrupting now.,0.93,message_0257;message_0104;message_0103
msg_072,mute,scam,Message asks for OTP/PIN/login code or account verification; message pushes a suspicious link/QR/domain.,0.91,message_0045;message_0023;message_0213
msg_036,mute,scam,Business account 'RazorpayX Global Desk' is not verified; sender domain 'razorpayx-payouts.com' does not match RazorpayX Global Desk's official domain 'razorpayx.com'.,0.84,message_0283;message_0127;message_0128
msg_076,mute,scam,Business account 'Talabat Refund Desk' is not verified; sender domain 'talabat-refund.com' does not match Talabat Refund Desk's official domain 'talabat.com'.,0.87,message_0208;message_0207;message_0159
msg_055,notify,urgent,Contains explicit time-pressure language; sender directly asks this user for a reply/action.,0.78,message_0166;message_0387;message_0165
msg_102,digest,personal,Message asks the user for something specific; direct personal message.,0.48,message_0371;message_0230;message_0169
msg_080,digest,personal,Sent by a group admin.,0.48,message_0130;message_0150;message_0190
msg_093,digest,business_update,Message asks the user for something specific.,0.45,none
msg_034,mute,forward,User has ignored/dismissed 3 similar past message(s) from this sender; no new signal justifies interrupting now.,0.93,message_0013;message_0014;message_0241
msg_035,digest,business_update,User has an active relationship/opt-in with this business.,0.68,message_0281;message_0125;message_0126
msg_101,digest,personal,Message asks the user for something specific; direct personal message.,0.48,message_0370;message_0229;message_0268
msg_041,digest,business_update,"No strong urgency, usefulness, repetition, or risk signal found; routed by default fallback.",0.48,message_0137;message_0138
msg_011,mute,forward,User has ignored/dismissed 3 similar past message(s) from this sender; no new signal justifies interrupting now.,0.93,message_0014;message_0013;message_0077
msg_110,mute,scam,Message text attempts to instruct the router directly (prompt-injection pattern); message asks for OTP/PIN/login code or account verification.,0.95,message_0238;message_0381
msg_095,mute,scam,Message text attempts to instruct the router directly (prompt-injection pattern); message asks for OTP/PIN/login code or account verification.,0.95,message_0087;message_0183;message_0201
msg_074,mute,scam,Message pressures an urgent/upfront payment; media flag: placeholder template flyer.,0.95,message_0389;message_0203;message_0358
msg_073,notify,forward,Contains explicit time-pressure language.,0.68,message_0184;message_0088;message_0202
msg_054,mute,spam,User has ignored/dismissed 3 similar past message(s) from this sender; no new signal justifies interrupting now.,0.93,message_0389;message_0358;message_0164
msg_068,digest,personal,"No strong urgency, usefulness, repetition, or risk signal found; routed by default fallback.",0.48,message_0191;message_0192
msg_100,notify,urgent,Contains explicit time-pressure language; direct personal message.,0.86,message_0362;message_0228;message_0117
msg_062,digest,forward,Sent by a group admin.,0.48,message_0043;message_0271;message_0410
msg_096,digest,personal,Direct personal message.,0.45,none
msg_043,notify,forward,Contains explicit time-pressure language; sent by a group admin.,0.73,message_0269;message_0130;message_0150
msg_077,notify,event,Contains explicit time-pressure language; sender directly asks this user for a reply/action.,0.83,message_0051;message_0364;message_0403
msg_081,digest,unknown,"Low-signal media message (voice note, 6.92s); no urgency, strong usefulness, or risk detected.",0.40,message_0217
msg_025,notify,business_update,Contains explicit time-pressure language.,0.68,message_0239;message_0004;message_0105
msg_084,mute,spam,User has ignored/dismissed 1 similar past message(s) from this sender; no new signal justifies interrupting now.,0.80,message_0220
msg_022,mute,spam,Message pressures an urgent/upfront payment; message pushes a suspicious link/QR/domain.,0.91,message_0151;message_0099;message_0149
